Batch_ID	Cieli_nel_Batch	Tot_Cieli_Analizzati	Superamenti_nel_Batch	Tot_Superamenti	P_Value_Globale
29	100000	2900000	7	240	8.276e-05
30	100000	3000000	10	250	8.333e-05
31	100000	3100000	11	261	8.419e-05
32	100000	3200000	10	271	8.469e-05
33	100000	3300000	3	274	8.303e-05
34	100000	3400000	5	279	8.206e-05
35	100000	3500000	9	288	8.229e-05
36	100000	3600000	6	294	8.167e-05
37	100000	3700000	10	304	8.216e-05
38	100000	3800000	9	313	8.237e-05
39	100000	3900000	9	322	8.256e-05
40	100000	4000000	9	331	8.275e-05
41	100000	4100000	9	340	8.293e-05
42	100000	4200000	5	345	8.214e-05
43	100000	4300000	4	349	8.116e-05
44	100000	4400000	6	355	8.068e-05
45	100000	4500000	14	369	8.200e-05
46	100000	4600000	11	380	8.261e-05
47	100000	4700000	10	390	8.298e-05
48	100000	4800000	13	403	8.396e-05
49	100000	4900000	6	409	8.347e-05
50	100000	5000000	10	419	8.380e-05
51	100000	5100000	9	428	8.392e-05
52	100000	5200000	9	437	8.404e-05
53	100000	5300000	4	441	8.321e-05
54	100000	5400000	10	451	8.352e-05
55	100000	5500000	11	462	8.400e-05
56	100000	5600000	8	470	8.393e-05
57	100000	5700000	8	478	8.386e-05
58	100000	5800000	10	488	8.414e-05
59	100000	5900000	6	494	8.373e-05
60	100000	6000000	9	503	8.383e-05
61	100000	6100000	10	513	8.410e-05
62	100000	6200000	9	522	8.419e-05
63	100000	6300000	9	531	8.429e-05
64	100000	6400000	13	544	8.500e-05
65	100000	6500000	10	554	8.523e-05
66	100000	6600000	6	560	8.485e-05
67	100000	6700000	6	566	8.448e-05
68	100000	6800000	12	578	8.500e-05
69	100000	6900000	10	588	8.522e-05
70	100000	7000000	10	598	8.543e-05
71	100000	7100000	6	604	8.507e-05
72	100000	7200000	4	608	8.444e-05
73	100000	7300000	10	618	8.466e-05
74	100000	7400000	8	626	8.459e-05
75	100000	7500000	9	635	8.467e-05
76	100000	7600000	5	640	8.421e-05
77	100000	7700000	8	648	8.416e-05
78	100000	7800000	10	658	8.436e-05
79	100000	7900000	13	671	8.494e-05
80	100000	8000000	13	684	8.550e-05
81	100000	8100000	5	689	8.506e-05
82	100000	8200000	4	693	8.451e-05
83	100000	8300000	5	698	8.410e-05
84	100000	8400000	16	714	8.500e-05
85	100000	8500000	11	725	8.529e-05
86	100000	8600000	9	734	8.535e-05
87	100000	8700000	8	742	8.529e-05
88	100000	8800000	11	753	8.557e-05
89	100000	8900000	9	762	8.562e-05
90	100000	9000000	11	773	8.589e-05
91	100000	9100000	9	782	8.593e-05
92	100000	9200000	3	785	8.533e-05
93	100000	9300000	9	794	8.538e-05
94	100000	9400000	6	800	8.511e-05
95	100000	9500000	7	807	8.495e-05
96	100000	9600000	8	815	8.490e-05
97	100000	9700000	6	821	8.464e-05
98	100000	9800000	6	827	8.439e-05
99	100000	9900000	6	833	8.414e-05
100	100000	10000000	8	841	8.410e-05
1	1000000	1000000	80	80	8.000e-05
2	1000000	2000000	72	152	7.600e-05
3	1000000	3000000	97	249	8.300e-05
4	1000000	4000000	97	346	8.650e-05
5	1000000	5000000	93	439	8.780e-05
6	1000000	6000000	83	522	8.700e-05
7	1000000	7000000	86	608	8.686e-05
8	1000000	8000000	73	681	8.512e-05
9	1000000	9000000	81	762	8.467e-05
10	1000000	10000000	86	848	8.480e-05
1	1000000	1000000	88	88	8.800e-05
2	1000000	2000000	80	168	8.400e-05
3	1000000	3000000	80	248	8.267e-05
4	1000000	4000000	73	321	8.025e-05
5	1000000	5000000	92	413	8.260e-05
6	1000000	6000000	92	505	8.417e-05
7	1000000	7000000	69	574	8.200e-05
8	1000000	8000000	73	647	8.088e-05
9	1000000	9000000	81	728	8.089e-05
10	1000000	10000000	83	811	8.110e-05
